czk_0000,31574961c8
czk_0005,71769f9fdd
czk_0010,43ef2dc797
czk_0015,4e6a75cb5b
czk_0020,349e888c72
czk_0025,6707f1f3d1
czk_0030,4150c47382
czk_0035,8c79a0e9a7
czk_0040,e9fcea4985
czk_0045,56a1f3fcbc
czk_0050,3859707171
czk_0055,bad7dc4e48
czk_0060,740abbc232
czk_0065,923cff8495
czk_0070,b55aea8bb4
czk_0075,8af51989bb
czk_0080,593465dd77
czk_0085,3ddd9568a2
czk_0090,fda87d7b28
czk_0095,f0d2499cbc
czk_0100,b639435f26
eur_0000,fad20d9ed6
eur_0005,4fd5ed51d5
eur_0010,a45ae886df
eur_0015,e2d833b8ff
eur_0020,bedd6ada64
eur_0025,add416e35a
eur_0030,b043ef9c26
eur_0035,9b349b661e
eur_0040,77bea27bc2
eur_0045,3c11c51914
eur_0050,9a1bc58a6d
eur_0055,9082b991f4
eur_0060,8132ce84a3
eur_0065,474b0a1fb2
eur_0070,78a6349d19
eur_0075,32475a3d62
eur_0080,220d17e118
eur_0085,91624f667b
eur_0090,a9b0f44938
eur_0095,110dadd0b5
eur_0100,3ed23864bf
usd_0000,bf43123a33
usd_0005,3189e3f08e
usd_0010,1ee79af362
usd_0015,3f6cb99160
usd_0020,cab75ce4cb
usd_0025,68c8e6ac26
usd_0030,9e0ef7d256
usd_0035,8aeca9fb96
usd_0040,e26f85bb5f
usd_0045,2262a03944
usd_0050,deacfbffe9
usd_0055,75cf2b78a3
usd_0060,85315827ea
usd_0065,c0fa7c1fc6
usd_0070,a6480448e2
usd_0075,ed5517454c
usd_0080,129df1bc0a
usd_0085,04a7eb227b
usd_0090,7645e6e138
usd_0095,6931ff5469
usd_0100,55089c3610
rub_0000,b7857c7892
rub_0005,c2226509a1
rub_0010,dfe396d1e8
rub_0015,0f3640ddc2
rub_0020,fee15b0993
rub_0025,9057d1a620
rub_0030,daa56103a2
rub_0035,bc5f0ea8d5
rub_0040,e6046e1856
rub_0045,79b685a9f2
rub_0050,44d984ac7e
rub_0055,4b8bd4e5dd
rub_0060,f278d92be7
rub_0065,253a163c7c
rub_0070,f00960fba4
rub_0075,f77b7d64e3
rub_0080,734a3dfe79
rub_0085,afc2365183
rub_0090,d44d268cea
rub_0095,65c3d313e2
rub_0100,d17793210f
gbp_0000,c6f1358ed9
gbp_0005,ae728b7b30
gbp_0010,4bbb16259b
gbp_0015,be3271c3f8
gbp_0020,70d2bc6e8d
gbp_0025,2cf75a95a1
gbp_0030,339a0341d5
gbp_0035,8d565c6bbe
gbp_0040,6a799729ba
gbp_0045,7e41b53890
gbp_0050,1e0e7f9f5b
gbp_0055,1972b3a184
gbp_0060,d5d5672485
gbp_0065,be7ce3fb86
gbp_0070,47d1a86942
gbp_0075,6f302e3844
gbp_0080,08ddfc09a9
gbp_0085,48220c32f6
gbp_0090,fcd8fc6836
gbp_0095,b366c76107
gbp_0100,f02b85bc91
xxx_0000,19e5f1fb1d
